username,repo name,stars,repo URL
realm,SwiftLint,16200,https://github.com/realm/SwiftLint
facebook,infer,13400,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,10000,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,7100,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,6900,https://github.com/SonarSource/sonarqube
Kristories,awesome-guidelines,6700,https://github.com/Kristories/awesome-guidelines
facebook,pyre-check,6000,https://github.com/facebook/pyre-check
reviewdog,reviewdog,5200,https://github.com/reviewdog/reviewdog
detekt,detekt,4600,https://github.com/detekt/detekt
simplecov-ruby,simplecov,4500,https://github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,4100,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,4100,https://github.com/PyCQA/pylint
pmd,pmd,3900,https://github.com/pmd/pmd
phpro,grumphp,3800,https://github.com/phpro/grumphp
htmlhint,HTMLHint,2800,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2600,https://github.com/kucherenko/jscpd
trekhleb,state-of-the-art-shitcode,3200,https://github.com/trekhleb/state-of-the-art-shitcode
codeclimate,codeclimate,2300,https://github.com/codeclimate/codeclimate
uber,piranha,1900,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1900,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1300,https://github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1200,https://github.com/Tencent/feflow
Tencent,CodeAnalysis,1200,https://github.com/Tencent/CodeAnalysis
urish,typewiz,1100,https://github.com/urish/typewiz
jakzal,phpqa,1000,https://github.com/jakzal/phpqa
imgbot,Imgbot,924,https://github.com/imgbot/Imgbot
joshuaclayton,unused,870,https://github.com/joshuaclayton/unused
sourcery-ai,sourcery,866,https://github.com/sourcery-ai/sourcery
SonarSource,SonarJS,825,https://github.com/SonarSource/SonarJS
pdepend,pdepend,802,https://github.com/pdepend/pdepend
