username,repo name,stars,repo URL
atom,atom,58200,https://github.com/atom/atom
themerdev,themer,4800,https://github.com/themerdev/themer
nteract,hydrogen,3800,https://github.com/nteract/hydrogen
miniflux,v2,3700,https://github.com/miniflux/v2
shd101wyy,markdown-preview-enhanced,3700,https://github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,2400,https://github.com/atom/teletype
mmcdole,gofeed,1900,https://github.com/mmcdole/gofeed
mehcode,awesome-atom,1900,https://github.com/mehcode/awesome-atom
joefitzgerald,go-plus,1500,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1400,https://github.com/simplepie/simplepie
kurtmckee,feedparser,1400,https://github.com/kurtmckee/feedparser
ocaml,merlin,1400,https://github.com/ocaml/merlin
t9md,atom-vim-mode-plus,1400,https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1300,https://github.com/MagicStack/MagicPython
atom,apm,1300,https://github.com/atom/apm
file-icons,atom,1200,https://github.com/file-icons/atom
kettanaito,atomic-layout,1100,https://github.com/kettanaito/atomic-layout
atom,github,1000,https://github.com/atom/github
nmdias,FeedKit,995,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,966,https://github.com/nathanbuchar/atom-one-dark-terminal
fwcd,kotlin-language-server,956,https://github.com/fwcd/kotlin-language-server
danhper,atomic-chrome,927,https://github.com/danhper/atomic-chrome
jesseweed,seti-ui,900,https://github.com/jesseweed/seti-ui
jpmonette,feed,803,https://github.com/jpmonette/feed
prettier,prettier-atom,778,https://github.com/prettier/prettier-atom
feeddd,feeds,757,https://github.com/feeddd/feeds
raphamorim,lucario,745,https://github.com/raphamorim/lucario
atom-community,atom-script,738,https://github.com/atom-community/atom-script
jasonmunro,cypht,724,https://github.com/jasonmunro/cypht
